source_reference,category,media_filename,storage_path,supabase_public_url,source_locations,notes
/images/IMG-20250206-WA0013-768x432.jpg,B. LOCAL ONLY,IMG-20250206-WA0013-768x432.jpg,N/A,N/A,lib\data\pages-data.ts,Referenced in website code but not in 134 Supabase migrated records
/images/IMG-20250206-WA0013.jpg,B. LOCAL ONLY,IMG-20250206-WA0013.jpg,N/A,N/A,lib\data\pages-data.ts,Referenced in website code but not in 134 Supabase migrated records
/images/IMG20220416105337-150x150.jpg,A. SUPABASE READY,IMG20220416105337-150x150.jpg,images/IMG20220416105337-150x150.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG20220416105337-150x150.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG20220416105337-scaled.jpg,B. LOCAL ONLY,IMG20220416105337-scaled.jpg,N/A,N/A,lib\data\pages-data.ts,Referenced in website code but not in 134 Supabase migrated records
/images/IMG20220416105414-150x150.jpg,A. SUPABASE READY,IMG20220416105414-150x150.jpg,images/IMG20220416105414-150x150.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG20220416105414-150x150.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG20220416105414-scaled.jpg,B. LOCAL ONLY,IMG20220416105414-scaled.jpg,N/A,N/A,lib\data\pages-data.ts,Referenced in website code but not in 134 Supabase migrated records
/images/IMG20220416105427-150x150.jpg,A. SUPABASE READY,IMG20220416105427-150x150.jpg,images/IMG20220416105427-150x150.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG20220416105427-150x150.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG20220416105427-scaled.jpg,B. LOCAL ONLY,IMG20220416105427-scaled.jpg,N/A,N/A,lib\data\pages-data.ts,Referenced in website code but not in 134 Supabase migrated records
/images/IMG20220416105431-150x150.jpg,A. SUPABASE READY,IMG20220416105431-150x150.jpg,images/IMG20220416105431-150x150.jpg,https://ywrgxzulhmklohdsdsme.supabase.co/storage/v1/object/public/yuvatejam-media/images/IMG20220416105431-150x150.jpg,lib\data\pages-data.ts,Exact filename exists in 134 Supabase migrated records
/images/IMG20220416105431-scaled.jpg,B. LOCAL ONLY,IMG20220416105431-scaled.jpg,N/A,N/A,lib\data\pages-data.ts,Referenced in website code but not in 134 Supabase migrated records
